Salary;Work_Type;Company_Size;Role;Company
47200;стажер;26801;менеджер по социальным сетям;Icahn Enterprises
44800;Стажер;100340;Фронтенд веб-разработчик; PNC Financial Services Group
48800;временный;84525;менеджер по контролю качества;United Services Automobile Assn.
52000;полный рабочий день;129896;инженер беспроводной сети;Hess
51200;стажер;53944;менеджер по проведению конференций;Cairn Energy
47200;Полная занятость;23196;Аналитик по обеспечению качества;Adani Ports and Special Economic Zone
50400;временная;26119;классный руководитель;FedEx
52000;контракт;40558;дизайнер пользовательского интерфейса;Ryder System
52000;Временная;105343;Дизайнер интерфейсов;Zee Entertainment Enterprises
48000;полный рабочий день;102069;свадебный консультант;CSX
45600;контракт;130338;специалист по тестированию производительности;Вкусно и точка
51200;контракт;117285;адвокат по семейному праву;TPG Telecom
52000;неполный рабочий день;79071;инженер-механик;ThyssenKrupp AG
44800;временная;127900;аналитик по сетевой безопасности;EnLink Midstream
45600;полный рабочий день;92128;менеджер по работе с клиентами;NGL Energy Partners
52000;неполный рабочий день;92028;бренд-менеджер по продукции;Bayer AG
48000;неполный рабочий день;49100;социальный работник в школе;Deere
44000;полный рабочий день;29318;создатель контента;Mondelez International
44000;контракт;126630;Аналитик по доставке; 3M
52000;временный;48199;координатор по кадрам;KKR
49600; полный рабочий день;64351;юридический секретарь;NGL Energy Partners
51200;Стажер;118041;Семейная медсестра;EasyJet
46400;Стажер;40723;Стратег по работе с клиентами;Otis Worldwide
49600;Временная;127385; Бэкэнд разработчик; Oil Search
48000;Временная;28043;Координатор цепочки поставок;HCL Technologies
46400;Временная;81318;Координатор цепочки поставок;DTE Energy
47200;Контракт;105370;B2B Консультант по продажам;Associated British Foods
51200;неполный рабочий день;51537;инженер-строитель;Xcel Energy
50400;стажер;93670;аналитик центра управления безопасностью;Deutsche Post DHL Group
52000;стажер;56930; фронт-энд разработчик;Bodycote
44000;Стажер;64185;Специалист по планированию налогов;Old Republic International
52000;неполный рабочий день;101834;Координатор мероприятий;United Airlines Holdings
45600;контракт;130962;клинический психолог;Tenet Healthcare
52000;контракт;38044;инженер-электрик;Regions Financial
49600;Временная;27725;Дизайнер по освещению;CBRE Group
46400;неполный рабочий день;35273; Бизнес-аналитик;Отель Луна
48000;стажер;103693;контент-писатель;Corning
51200;временная;29884;дизайнер пользовательского интерфейса;Leidos Holdings
45600;неполный рабочий день;104700;персональный налоговый консультант;Divi's Laboratories
46400;полный рабочий день;47107;тестировщик автоматизированного оборудования; Tata Consumer Products
44800;стажер;61246; руководитель отдела продаж;Fannie Mae
44000; частичная занятость;43665;специалист по ИТ-поддержке;Spotify Technology S.A.
49600;стажер;125427;специалист по работе с клиентами;Bajaj Auto
52000;неполный рабочий день;57134;менеджер по социальным сетям;Renishaw
44800;временный;55648;разработчик баз данных;News Corp.
47200;Стажер;107738;Исследователь в области социальных наук;KKR
44800;Временная;91636; Регистратор; Arconic
51200;стажер;43166;штатная медсестра;Revlon
47200;временная;99455;международный налоговый консультант;Dow
45600;временный;21827;аналитик по рискам;Seaboard
49600;временная;65648;логопед;Всезнайка
44000;контракт;65183;региональный директор по продажам;Enterprise Products Partners
47200;полный рабочий день;73840;консультант по вопросам психического здоровья;Bayer AG
47200;частичная занятость;25713; Семейная медсестра-практикант;Carrier Global
51200;Временная;14771;Градостроитель;UnitedHealth Group
48000;Временная;90064;Менеджер по работе со стратегическими клиентами;Avnet
50400;Стажер;48875;Исследователь пользователей;UGI
45600;временный;18334;менеджер по работе с клиентами;Disney+
52000;неполный рабочий день;45782;финансовый аналитик;General Electric
52000;стажер;58759;техник по поддержке настольных компьютеров;Brighthouse Financial
48800;временная;40875;художественный куратор;Deutsche Pfandbriefbank AG
45600;Полная занятость;42159;Sales Account Executive;GlaxoSmithKline
44800;контракт;121311;разработчик мобильных приложений;Starbucks
52000;стажер;54212;Agile Project Manager;Hindalco Industries
52000;Полная занятость;110983;инженер-строитель;Lincoln National
44000;частичная занятость;85922;менеджер по обеспечению качества обслуживания;HCL Technologies
47200;полный рабочий день;22971;аналитик по закупкам;Nestle India
50400;стажер;87873;семейный консультант;Электрокомпоненты
51200;стажер;77894;аналитик по логистике;Community Health Systems
44800;стажер;58034;архитектор данных;Equitable Holdings
51200;неполный рабочий день;128742;региональный директор по продажам;Bajaj Finserv
46400;контракт;24654;аналитик по логистике;PulteGroup
44800;неполный рабочий день;39267;дизайнер пользовательского интерфейса;Stockland Corporation
52000;контракт;92865;аналитик по обеспечению качества;Group 1 Automotive
51200;контракт;32898;аналитик по обеспечению качества;Altria Group
